oldname,newnamenf
B2_169_16_flt_sft_macs.bed_treat_pileup_sorted_flb_bdgaccuNORM.bdg,Exp169_KO_6h_rep2
B2_169_17_flt_sft_macs.bed_treat_pileup_sorted_flb_bdgaccuNORM.bdg,Exp169_WT_12h_rep2
B2_169_18_flt_sft_macs.bed_treat_pileup_sorted_flb_bdgaccuNORM.bdg,Exp169_KO_12h_rep2
B2_169_19_flt_sft_macs.bed_treat_pileup_sorted_flb_bdgaccuNORM.bdg,Exp169_WT_24h_rep2
B2_169_20_flt_sft_macs.bed_treat_pileup_sorted_flb_bdgaccuNORM.bdg,Exp169_KO_24h_rep2
B2_169_21_flt_sft_macs.bed_treat_pileup_sorted_flb_bdgaccuNORM.bdg,Exp169_WT_0h_rep3
B2_169_22_flt_sft_macs.bed_treat_pileup_sorted_flb_bdgaccuNORM.bdg,Exp169_WT_0h_rep4
Bach2_mm10_flb_bdgaccuNORM.bdg,ChIP_Bach2
BATF_flb_bdgaccuNORM.bdg,ChIP_BATF
cJun_flb_bdgaccuNORM.bdg,ChIP_cJun
Exhausted_SRR4435496_flt_fDsft_flb_macs.bed_treat_pileup_srt_bdgaccuNORM.bdg,GSE88987_Exhausted_rep1
Exhausted_SRR4435497_flt_fDsft_flb_macs.bed_treat_pileup_srt_bdgaccuNORM.bdg,GSE88987_Exhausted_rep2
Exhausted_SRR4435498_flt_fDsft_flb_macs.bed_treat_pileup_srt_bdgaccuNORM.bdg,GSE88987_Exhausted_rep3
IRF4_flb_bdgaccuNORM.bdg,ChIP_IRF4
JunB_flb_bdgaccuNORM.bdg,ChIP_JunB
JunD_flb_bdgaccuNORM.bdg,ChIP_JunD
Memory_SRR4435494_flt_fDsft_flb_macs.bed_treat_pileup_srt_bdgaccuNORM.bdg,GSE88987_Memory_rep1
Memory_SRR4435495_flt_fDsft_flb_macs.bed_treat_pileup_srt_bdgaccuNORM.bdg,GSE88987_Memory_rep2
MPEC_SRR4435523_flt_fDsft_flb_macs.bed_treat_pileup_srt_bdgaccuNORM.bdg,GSE88987_MPEC_rep1
MPEC_SRR4435524_flt_fDsft_flb_macs.bed_treat_pileup_srt_bdgaccuNORM.bdg,GSE88987_MPEC_rep2
