filename_nf,bdgaccu,1000000000_scalingfactor
MPEC_SRR4435523_flt_fDsft_flb_macs.bed_treat_pileup_srt,1713073200,0.583746217
MPEC_SRR4435524_flt_fDsft_flb_macs.bed_treat_pileup_srt,1389890200,0.719481294
MPEC_SRR4435525_flt_fDsft_flb_macs.bed_treat_pileup_srt,2665770600,0.375126052
Memory_SRR4435494_flt_fDsft_flb_macs.bed_treat_pileup_srt,805427600,1.241576524
Memory_SRR4435495_flt_fDsft_flb_macs.bed_treat_pileup_srt,773187800,1.293346843
Naive_SRR4435505_flt_fDsft_flb_macs.bed_treat_pileup_srt,1315916200,0.75992681
Naive_SRR4435506_flt_fDsft_flb_macs.bed_treat_pileup_srt,1244222800,0.803714576
Naive_SRR4435507_flt_fDsft_flb_macs.bed_treat_pileup_srt,689991800,1.449292586
Naive_SRR4435508_flt_fDsft_flb_macs.bed_treat_pileup_srt,957988800,1.04385354
Naive_SRR4435509_flt_fDsft_flb_macs.bed_treat_pileup_srt,1061313400,0.942228752
Runx3_d6_flb,470337790,2.126131519
Runx3_ex_vivo_flb,1327245450,0.753440142
SLEC_SRR4435520_flt_fDsft_flb_macs.bed_treat_pileup_srt,1287867600,0.776477334
SLEC_SRR4435521_flt_fDsft_flb_macs.bed_treat_pileup_srt,1442739800,0.693125677
SLEC_SRR4435522_flt_fDsft_flb_macs.bed_treat_pileup_srt,1671014000,0.598439032
SRR4435499.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt,303875800,3.290818157
SRR4435500.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt,453319200,2.205951127
SRR4435501.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt,440022200,2.272612609
SRR4435502.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt,477051800,2.09620842
SRR4435503.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt,521386200,1.917964073
SRR4435504.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt,469672600,2.129142726
SRR4435510.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt,616702400,1.621527661
SRR4435511.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt,831573800,1.202539089
SRR4435512.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt,505445800,1.978451498
SRR4435513.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt,408161800,2.450008796
SRR4435514.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt,334708400,2.987675242
SRR4435515.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt,459317200,2.177144683
SRR4435516.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt,388017800,2.577201355
SRR4435517.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt,435287600,2.297331695
SRR4435518.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt,285772400,3.499288245
SRR4435519.sorted.bam_5flt_sft_flb.bed_macs.bed_treat_pileup.bdg_srt,646445200,1.546921533
Stat5A_flb,314408999,3.180570541
Stat5B_flb,265947828,3.760135992
Tcf7_flb,396724330,2.520641978
cJun_flb,1788748700,0.559050022
tbet_flb,5599181210,0.178597542
